supertopic	userid_count
微博任务红包	6093637
微博之夜	1444527
熊猫守护者	959604
签到领红包	864751
2019新年心愿	836488
好运红包	643604
我的微博等级	617416
福气扭蛋机	400679
锦鲤红包日历	393484
“一起种”公益林	390735
今天我升级为VIP2了	343448
微盘	275515
世界杯玩赚竞猜	272762
微博等级，升等级享好礼	254036
2019LPL战队势力榜	236640
读新闻！收红包！	206792
朱一龙	187633
今天我升级为VIP3了	183575
天猫双11爆款清单	163847
和我去见大V吧	163412
易烊千玺	162225
2018票选你喜爱的作家	161373
AD钙奶和旺仔牛奶哪个是你的最爱？	157636
今天我升级为VIP4了	154820
微博电影之夜最佳演员	153797
蔡徐坤	150322
vivo中国新说唱人气榜	149222
世界杯赛程	145278
bilibili	141650
今天我升级为VIP5了	125218
微博会员福利	123005
元宵节好礼在这里	118317
剧星璀璨榜	117703
会员五周年，High Five嘉年华	113874
2018微博电影之夜人气之星	110791
踢馆赛全民举荐歌手	107438
微博King和Queen榜	105192
阴阳师手游	100311
下微博赢小米MIX手机	99271
春晚	98368
全民助力金典歌王冲刺	91411
微博发vivo手机啦！	90570
张艺兴	86312
2019NBA全明星投票	84218
张云雷	82967
偷好友红包去	81297
大V现场	80666
华为P20 Pro极光闪蝶色6GB+128GB全网通	78612
红包好礼邀你领	77690
集爱豆值，赢芒果跨年门票	77547
VPlus会员抢红包	76844
微博综艺大赏	75775
圣诞老人派发礼物啦！	75274
LPL战队势力榜	74444
微博微卡	72303
你习惯用9键还是26键？	71700
王俊凯	71277
变美扭蛋机	69474
V+会员送红包	68525
鹿晗	68524
甜蜜扭蛋机	68514
你最喜欢用9键还是26键？	68204
第九届全国大学生绿植领养	65338
每日一善	64024
2018《微博综艺大赏》人气艺人榜	59383
北京	58108
王源	57806
S8战队势力榜	57751
亚洲新歌榜2018年度盛典	56491
今天我升级为VIP6了	56208
我最难忘的热搜词	56036
欢乐竞猜，好运不停！	55602
你认为南方该不该提供集体供暖？	54978
微博饭票	54753
音乐公告牌加油能量榜	54717
华晨宇	54702
桃花扭蛋机	54540
TFBOYS	54102
红包日历	52154
完美理想型男友人气榜	51049
陈立农	50881
薛之谦	49866
真果粒青春有你-微博加油站	49823
福利权益免费领！	49372
NBA球员势力榜	48978
你觉得北方人和南方人到底谁更抗冻？	48364
码上双11	48231
吴亦凡	48221
玩微博赢华为P9手机	47459
PCPI S2战队势力榜	47428
明星ALL榜	47253
游戏势力榜	47037
上海	46794
创造营2019微博点赞通道	46018
邓伦	45571
以团之名	45040
微博等级专享礼	45007
热搜星愿树	44887
剧星闪耀榜	44466
粉丝头条优惠券大礼包，据说长得好看的人都会领取哦！	44085
粉条老司机自驾带你上头条，第三个上车的人有惊喜！	43699
明星势力榜-创造101榜	43610
李易峰	43203
世界杯球队势力榜	43161
青春有你助力场	42746
KPL战队风云榜	41919
青春的花路	41577
我不是药神	40782
2018年12月微博会员报告	40048
流浪地球	39752
迪丽热巴	39527
KPL选手打CALL榜	39354
EXO	38709
Android客户端意见反馈	38681
下微博，赢vivo X9手机！	37999
知乎	37948
运动员势力榜	37886
个性皮肤：复仇者联盟4	36691
白敬亭	36656
范丞丞	36555
吃火锅要配米饭吗？	36303
黄明昊	34780
你玩手机会不会用小指托着手机底部	34396
申请微博认证	34357
白宇	34222
微博运动	34025
成都	33903
广州	33836
中国健儿加油榜	33722
深圳	33483
海信世界杯梦之队	33465
剧版镇魂	33401
幸运大转盘	32875
张杰	32843
摩登兄弟	32797
篮球大V红人榜	32705
日行一善	32648
电视剧品质盛典	32503
林俊杰	32390
赵丽颖	31578
现金红包天天拿	31566
全民观影福利，折后直减现金	31477
NINEPERCENT	31418
2018年11月微博会员报告	31258
玩微博赢X9手机	31212
朱正廷	31039
最强大脑	30631
王者荣耀	30541
V影响力峰会	30289
美妆V赏	30228
练习生PICK榜	29964
青春的花路服务区	29888
楚留香手游	29788
你在B站上见到过低俗内容吗？	28943
我的中国赞	28920
记录世界 记录你	28763
防弹少年团	28698
仙家军的家	28605
世界杯集卡赢大奖	28603
林彦俊	28482
杨洋	28262
创造营2019	27892
投注成功分享红包！	27702
你觉得朋友圈3天可见有必要吗？	27284
蚂蚁庄园	27163
情感	27130
杨幂	26893
王嘉尔	26790
刘昊然	26647
你支持无条件为非婚生育孩子上户吗？	26530
超新星全运会	26277
罗云熙	26252
新浪20年•娱乐影响力人物	26037
明星势力榜第1位	26036
会员红包正在飞	25956
声入人心	25755
世界杯	25727
云次方	25637
会员免费领鲜花	25553
戴森Dyson吹风机	25403
超级话题	25341
送你100万1分钟花光	25300
杭州	25165
跨年夜你怎么过？	24936
西安	24858
福袋来了	24777
2019年亚洲杯	24593
没有意外	24384
下微博赢魅族Pro6Plus手机	24077
杨超越	23914
黄景瑜	23581
欢乐竞猜送现金红包	23562
优酷秋集2018最期待大剧热综明星能量榜	23561
电视剧东宫	23517
微博电影全民5元代金券	23479
宅男星势力	23439
旅行城市打CALL榜	23215
第八届全国大学生绿植领养	23168
郑爽	23028
NBA吐槽大会	22983
魔道祖师	22965
我的-TFBOYS-王俊凯	22936
南京	22645
第三届金骨朵网络影视盛典网络剧男女演员榜	22518
2019到底是该脱单还是脱贫？	22412
上微博，抓正版娃娃	22390
爱情公寓(2018)	22181
MusicRadio中国TOP排行榜	22039
陈伟霆	21880
我是答题王	21728
瓜分15亿，开奖啦！	21707
亲爱的，这里没有一个人	21630
重庆	21594
万圣狂欢夜，来领个礼物开心下！	21559
让红包飞	21550
杨九郎	21539
吴世勋	21506
十年一转眼	21455
发钱了！发钱了！	21408
微博NBA	21394
苏明玉该不该和解?	21208
世界杯吐槽大会	21058
应援口号battle赛	20805
NBA球队势力榜	20684
作为家长，能接受孩子同学有犯罪史吗？	20575
恋与制作人	20558
小米8 透明探索版 128G	20372
年少有为	20368
孟鹤堂	20352
2018年10月微博会员报告	20315
2018微博电影之夜预告片势力榜	20265
Bigger-蔡徐坤	20199
武汉	20183
明星穿羽绒服走红毯你能接受吗？	19982
逛街时遇到明星，应该让路吗？	19907
青春有你	19771
漫威	19755
